#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   177.3041	   177.3041	   407.6400	   407.6400	   404.4600	   389.8100	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   240.4022	   240.4022	   413.4400	   413.4400	   409.6700	   389.8100	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   289.4095	   289.4095	   417.9500	   417.9500	   413.7200	   389.8100	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   324.5025	   324.5025	   421.1000	   421.1000	   416.6100	   389.8000	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.2105	   516.3004	   259.8418	   776.1422	   461.2200	   461.2200	   452.8200	   388.5900	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.2329	   570.2462	   256.9469	   827.1931	   465.7000	   465.7000	   457.0400	   388.5800	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.2501	   612.0182	   236.7036	   848.7218	   467.5800	   467.5800	   458.8200	   388.5800	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.2537	   621.4737	   219.9349	   841.4086	   465.2300	   465.2300	   456.5200	   386.7100	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.2686	   657.5415	   210.9975	   868.5390	   466.0400	   466.0400	   457.0500	   384.8000	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.2842	   695.5611	   207.5841	   903.1452	   467.4800	   467.4800	   458.1400	   382.8000	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.2900	   709.8162	   206.8628	   916.6789	   466.9100	   466.9100	   457.4200	   380.7400	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.2915	   713.8306	   206.8838	   920.7144	   465.4200	   465.4200	   455.8800	   378.6500	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.2922	   716.0710	   206.9642	   923.0353	   463.7500	   463.7500	   454.1800	   376.5300	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.2928	   718.1524	   207.0719	   925.2244	   462.0500	   462.0500	   452.4500	   374.3900	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.2935	   720.2385	   207.1917	   927.4302	   460.3400	   460.3400	   450.7000	   372.2300	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.2941	   722.3566	   207.4684	   929.8250	   458.6100	   458.6100	   448.9500	   370.0500	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.2948	   724.4926	   207.4259	   931.9185	   456.8500	   456.8500	   447.1600	   367.8500	     4.0000	     0.9600	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.2976	   731.8224	   207.0270	   938.8494	   455.4400	   455.4400	   445.6700	   365.9700	     4.0000	     0.9700	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7300	     0.3051	   750.7333	   206.3194	   957.0528	   454.2200	   454.2200	   444.2700	   364.0700	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.3181	   782.9048	   206.1344	   989.0392	   453.2900	   453.2900	   443.0100	   362.1000	     4.0000	     1.0100	   790.3900	 regenerative cooling, opposite flow	 
  105.6900	    43.2500	     0.3379	   831.6301	   208.0170	  1039.6471	   452.8000	   452.8000	   442.0200	   360.0500	     4.0000	     1.0400	   790.3900	 regenerative cooling, opposite flow	 
  110.2800	    41.3100	     0.3671	   903.6007	   206.8420	  1110.4427	   452.4400	   452.4400	   440.9700	   357.8700	     4.0000	     1.1000	   790.3900	 regenerative cooling, opposite flow	 
  114.8600	    38.8300	     0.4102	  1009.5320	   206.1721	  1215.7041	   452.6800	   452.6800	   440.1700	   355.5100	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
  119.4500	    35.7600	     0.4750	  1168.3904	   204.6058	  1372.9961	   453.7100	   453.7100	   439.6500	   352.9200	     4.0000	     1.2800	   790.3900	 regenerative cooling, opposite flow	 
  124.0400	    32.5500	     0.5612	  1378.9595	   202.5433	  1581.5028	   455.4400	   455.4400	   439.3300	   350.1300	     4.0000	     1.4200	   790.3900	 regenerative cooling, opposite flow	 
  128.6300	    29.3300	     0.6739	  1653.0821	   199.2344	  1852.3165	   457.9600	   457.9600	   439.1600	   347.1700	     4.0000	     1.6000	   790.3900	 regenerative cooling, opposite flow	 
  133.2200	    26.2000	     0.8210	  2009.2583	   188.0905	  2197.3488	   461.1100	   461.1100	   438.9000	   344.0700	     4.0000	     1.8200	   790.3900	 regenerative cooling, opposite flow	 
  137.8100	    23.8800	     0.9642	  2353.0240	   173.4764	  2526.5004	   463.5600	   463.5600	   438.0800	   340.9800	     4.0000	     2.0200	   790.3900	 regenerative cooling, opposite flow	 
  142.4000	    22.3900	     1.0768	  2620.4903	   154.1914	  2774.6818	   464.3200	   464.3200	   436.3700	   337.9500	     4.0000	     2.1800	   790.3900	 regenerative cooling, opposite flow	 
  146.9800	    21.6300	     1.1421	  2771.8645	   133.8060	  2905.6705	   462.9900	   462.9900	   433.7400	   334.9400	     4.0000	     2.2700	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     1.1533	  2793.9623	   126.5337	  2920.4960	   461.0300	   461.0300	   431.6300	   332.9700	     4.0000	     2.2900	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     0.9083	  2186.1578	    56.5263	  2242.6841	   439.1500	   439.1500	   416.4200	   327.1300	     4.0000	     2.0200	   790.3900	 regenerative cooling, opposite flow	 
  168.3500	    27.9800	     0.7178	  1725.5764	    39.3409	  1764.9173	   422.7200	   422.7200	   404.6500	   321.6100	     4.0000	     1.7800	   790.3900	 regenerative cooling, opposite flow	 
  177.5300	    31.2600	     0.5900	  1418.1975	    31.4279	  1449.6254	   410.0600	   410.0600	   395.0500	   316.5700	     4.0000	     1.6000	   790.3900	 regenerative cooling, opposite flow	 
  186.7100	    34.3200	     0.5001	  1202.3549	    26.5571	  1228.9120	   399.7100	   399.7100	   386.8100	   311.9000	     4.0000	     1.4700	   790.3900	 regenerative cooling, opposite flow	 
  195.8900	    37.1600	     0.4346	  1045.3562	    22.7595	  1068.1157	   390.9200	   390.9200	   379.5500	   307.5100	     4.0000	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
  212.6500	    41.7500	     0.3543	   853.0451	    18.2324	   871.2774	   377.6700	   377.6700	   368.1300	   300.0000	     4.0000	     1.2200	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
