#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   170.5791	   170.5791	   405.1600	   405.1600	   402.0300	   389.9300	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   231.4011	   231.4011	   409.9800	   409.9800	   406.3400	   389.9300	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   278.7372	   278.7372	   413.7800	   413.7800	   409.7000	   389.9300	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   312.2745	   312.2745	   416.0100	   416.0100	   411.5600	   389.3900	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.3641	   779.1573	   248.5374	  1027.6947	   472.8400	   472.8400	   462.3400	   389.3900	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.3978	   849.3094	   245.4749	  1094.7843	   478.2500	   478.2500	   467.0900	   389.3800	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.4259	   907.7929	   226.1455	  1133.9384	   481.4300	   481.4300	   469.8700	   389.3800	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.4300	   916.9131	   209.9692	  1126.8823	   480.8000	   480.8000	   469.3600	   389.3700	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.4316	   921.1166	   201.5367	  1122.6533	   478.6600	   478.6600	   467.2400	   387.3200	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.4360	   931.2223	   198.7441	  1129.9664	   477.4200	   477.4200	   465.9200	   385.2600	     3.9990	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.4385	   937.1078	   198.1463	  1135.2541	   476.0000	   476.0000	   464.4400	   383.1700	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.4397	   940.4423	   198.0071	  1138.4494	   474.3900	   474.3900	   462.7900	   381.0500	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.4408	   943.3787	   198.0880	  1141.4667	   472.7500	   472.7500	   461.1000	   378.9100	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.4418	   946.3171	   198.2015	  1144.5186	   471.0900	   471.0900	   459.4100	   376.7500	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.4428	   949.2783	   198.4764	  1147.7547	   469.4200	   469.4200	   457.7000	   374.5700	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.4439	   952.2717	   198.5812	  1150.8529	   467.7200	   467.7200	   455.9700	   372.3700	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.4449	   955.3139	   198.5553	  1153.8692	   466.0000	   466.0000	   454.2100	   370.1400	     4.0000	     1.1700	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.4492	   964.9941	   198.7917	  1163.7858	   464.7200	   464.7200	   452.8200	   368.2500	     4.0000	     1.1800	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7200	     0.4605	   989.8472	   197.6322	  1187.4794	   463.6500	   463.6500	   451.5200	   366.3200	     4.0000	     1.1900	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.4799	  1031.7433	   198.7128	  1230.4560	   463.0900	   463.0900	   450.5300	   364.3200	     4.0000	     1.2200	   790.3900	 regenerative cooling, opposite flow	 
  105.7000	    43.2500	     0.5096	  1095.7277	   197.7431	  1293.4708	   462.7900	   462.7900	   449.6000	   362.2300	     4.0000	     1.2700	   790.3900	 regenerative cooling, opposite flow	 
  110.2900	    41.3100	     0.5533	  1189.4185	   196.5566	  1385.9752	   463.0100	   463.0100	   448.9100	   360.0100	     4.0000	     1.3300	   790.3900	 regenerative cooling, opposite flow	 
  114.8800	    38.8200	     0.6177	  1327.0068	   196.1024	  1523.1093	   464.0300	   464.0300	   448.5700	   357.6000	     4.0000	     1.4200	   790.3900	 regenerative cooling, opposite flow	 
  119.4700	    35.7500	     0.7143	  1532.6943	   194.7915	  1727.4857	   466.0900	   466.0900	   448.6100	   354.9400	     4.0000	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
  124.0600	    32.5300	     0.8425	  1804.4892	   191.2666	  1995.7558	   468.9500	   468.9500	   448.8200	   352.0700	     4.0000	     1.7300	   790.3900	 regenerative cooling, opposite flow	 
  128.6500	    29.3200	     1.0095	  2156.5796	   186.7049	  2343.2845	   472.7900	   472.7900	   449.2100	   349.0000	     4.0000	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
  133.2400	    26.1900	     1.2264	  2610.1966	   177.1313	  2787.3279	   477.5800	   477.5800	   449.5900	   345.7900	     4.0000	     2.2100	   790.3900	 regenerative cooling, opposite flow	 
  137.8300	    23.8700	     1.4365	  3044.9937	   158.6657	  3203.6594	   481.2000	   481.2000	   449.0700	   342.5900	     4.0000	     2.4600	   790.3900	 regenerative cooling, opposite flow	 
  142.4200	    22.3900	     1.6008	  3379.6533	   137.2692	  3516.9225	   482.7800	   482.7800	   447.5300	   339.4400	     4.0000	     2.6500	   790.3900	 regenerative cooling, opposite flow	 
  147.0100	    21.6200	     1.6956	  3565.8224	   114.2058	  3680.0282	   481.7400	   481.7400	   444.8600	   336.3200	     4.0000	     2.7600	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     1.7114	  3590.4082	   103.9546	  3694.3628	   479.6200	   479.6200	   442.6000	   334.3000	     4.0000	     2.7800	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     1.3493	  2804.6849	    36.9340	  2841.6189	   454.7100	   454.7100	   426.1300	   328.2300	     4.0000	     2.4600	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     1.0673	  2213.7163	    22.6967	  2236.4130	   435.9400	   435.9400	   413.3100	   322.4900	     4.0000	     2.1700	   790.3900	 regenerative cooling, opposite flow	 
  177.5500	    31.2500	     0.8776	  1818.7054	    16.6145	  1835.3199	   421.5500	   421.5500	   402.8400	   317.2500	     4.0000	     1.9500	   790.3900	 regenerative cooling, opposite flow	 
  186.7300	    34.3100	     0.7438	  1540.9654	    13.0217	  1553.9871	   409.8700	   409.8700	   393.8900	   312.3900	     4.0000	     1.7800	   790.3900	 regenerative cooling, opposite flow	 
  195.9100	    37.1400	     0.6461	  1338.6361	    10.6190	  1349.2551	   400.0600	   400.0600	   386.0400	   307.8400	     4.0000	     1.6500	   790.3900	 regenerative cooling, opposite flow	 
  212.7900	    41.7500	     0.5253	  1089.1044	     7.9760	  1097.0804	   385.3400	   385.3400	   373.7100	   300.0000	     4.0000	     1.4800	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
