#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.6400	     0.0000	     0.0000	   394.5737	   394.5737	   378.2700	   378.2700	   373.0600	   330.7900	     3.9220	     5.9200	   760.6100	 regenerative cooling, opposite flow; film coolant injection	 
    5.4400	    46.6400	     0.0000	     0.0000	   532.7583	   532.7583	   394.1600	   394.1600	   387.7400	   330.5600	     3.9230	     5.9100	   760.8200	 regenerative cooling, opposite flow	 
   10.8800	    46.6400	     0.0000	     0.0000	   639.1168	   639.1168	   406.3500	   406.3500	   399.0200	   330.2600	     3.9240	     5.9100	   761.0900	 regenerative cooling, opposite flow	 
   16.3200	    46.6400	     0.0000	     0.0000	   714.5055	   714.5055	   415.0000	   415.0000	   407.0100	   329.9100	     3.9250	     5.9100	   761.4000	 regenerative cooling, opposite flow	 
   21.7600	    46.6400	     0.0000	     0.0000	   759.0727	   759.0727	   420.0900	   420.0900	   411.6900	   329.5300	     3.9270	     5.9100	   761.7300	 regenerative cooling, opposite flow	 
   27.2100	    46.6400	     0.0000	     0.0000	   774.5182	   774.5182	   421.7500	   421.7500	   413.2400	   329.1400	     3.9280	     5.9000	   762.0800	 regenerative cooling, opposite flow	 
   32.6500	    46.6400	     0.0000	     0.0000	   774.5854	   774.5854	   421.6300	   421.6300	   413.1200	   328.7400	     3.9290	     5.9000	   762.4300	 regenerative cooling, opposite flow	 
   38.0900	    46.6400	     0.0000	     0.0000	   774.5841	   774.5841	   421.5100	   421.5100	   412.9900	   328.3400	     3.9300	     5.9000	   762.7900	 regenerative cooling, opposite flow	 
   43.5300	    46.6400	     0.3961	  1001.6821	   492.0544	  1493.7365	   505.4500	   505.4500	   491.7500	   327.7600	     3.9310	     5.8900	   763.3100	 regenerative cooling, opposite flow	 
   48.9700	    46.6400	     0.4117	  1039.4878	   489.9306	  1529.4184	   509.9400	   509.9400	   495.9200	   326.9800	     3.9320	     5.8900	   764.0000	 regenerative cooling, opposite flow	 
   54.4100	    46.6400	     0.4488	  1128.3264	   483.7188	  1612.0452	   520.1600	   520.1600	   505.3600	   326.1600	     3.9330	     5.8800	   764.7200	 regenerative cooling, opposite flow	 
   59.8500	    46.6400	     0.4787	  1199.6987	   476.2951	  1675.9938	   528.2500	   528.2500	   512.8300	   325.3000	     3.9340	     5.8800	   765.4800	 regenerative cooling, opposite flow	 
   65.2900	    46.6400	     0.4917	  1230.5757	   470.7160	  1701.2918	   531.6700	   531.6700	   516.0500	   324.4200	     3.9350	     5.8700	   766.2600	 regenerative cooling, opposite flow	 
   70.7400	    46.6400	     0.4958	  1240.4307	   466.8661	  1707.2968	   532.8100	   532.8100	   517.1100	   323.5300	     3.9360	     5.8700	   767.0500	 regenerative cooling, opposite flow	 
   76.1800	    46.6400	     0.4970	  1243.0476	   465.9101	  1708.9577	   533.3700	   533.3700	   517.6800	   322.6300	     3.9370	     5.8600	   767.8500	 regenerative cooling, opposite flow	 
   81.6200	    46.6400	     0.4972	  1243.3617	   465.0169	  1708.3786	   533.6900	   533.6900	   517.9900	   321.7300	     3.9380	     5.8500	   768.6500	 regenerative cooling, opposite flow	 
   87.0600	    46.6400	     0.4971	  1242.9114	   464.8106	  1707.7220	   533.9900	   533.9900	   518.2800	   320.8200	     3.9390	     5.8500	   769.4500	 regenerative cooling, opposite flow	 
   87.0600	    46.6400	     0.4971	  1242.9571	   464.7534	  1707.7106	   534.0000	   534.0000	   518.2800	   320.8200	     3.9390	     5.8500	   769.4500	 regenerative cooling, opposite flow	 
   91.6700	    46.4400	     0.5011	  1252.5607	   467.5695	  1720.1302	   534.7900	   534.7900	   518.9900	   320.0500	     3.9400	     5.8700	   770.1300	 regenerative cooling, opposite flow	 
   96.2900	    45.8400	     0.5133	  1282.6676	   466.5023	  1749.1699	   535.5700	   535.5700	   519.4900	   319.2700	     3.9410	     5.9400	   770.8200	 regenerative cooling, opposite flow	 
  100.9000	    44.8200	     0.5351	  1336.4145	   468.0292	  1804.4437	   537.1100	   537.1100	   520.5800	   318.4700	     3.9420	     6.0600	   771.5400	 regenerative cooling, opposite flow	 
  105.5100	    43.3600	     0.5694	  1420.9953	   464.8695	  1885.8648	   538.9700	   538.9700	   521.6600	   317.6300	     3.9430	     6.2500	   772.2700	 regenerative cooling, opposite flow	 
  110.1200	    41.4100	     0.6204	  1546.5583	   461.5602	  2008.1185	   541.7400	   541.7400	   523.3700	   316.7600	     3.9450	     6.5300	   773.0500	 regenerative cooling, opposite flow	 
  114.7400	    38.9200	     0.6959	  1731.7042	   459.5073	  2191.2115	   546.0200	   546.0200	   526.0100	   315.8200	     3.9460	     6.9300	   773.8800	 regenerative cooling, opposite flow	 
  119.3500	    35.8300	     0.8094	  2008.9788	   458.6024	  2467.5812	   552.4000	   552.4000	   529.9000	   314.7900	     3.9480	     7.4900	   774.7900	 regenerative cooling, opposite flow	 
  123.9600	    32.6000	     0.9603	  2376.1196	   452.0337	  2828.1533	   560.1100	   560.1100	   534.3400	   313.7000	     3.9500	     8.2000	   775.7600	 regenerative cooling, opposite flow	 
  128.5800	    29.3700	     1.1554	  2848.2574	   440.0170	  3288.2743	   569.4500	   569.4500	   539.4800	   312.5500	     3.9520	     9.0400	   776.7600	 regenerative cooling, opposite flow	 
  133.1900	    26.2200	     1.4054	  3449.1303	   418.3877	  3867.5181	   580.3000	   580.3000	   545.0900	   311.3600	     3.9550	    10.0700	   777.7500	 regenerative cooling, opposite flow	 
  137.8000	    23.8800	     1.6388	  4008.3865	   385.9203	  4394.3068	   588.6000	   588.6000	   548.6100	   310.2000	     3.9590	    10.9800	   778.7200	 regenerative cooling, opposite flow	 
  142.4100	    22.3900	     1.8067	  4412.5928	   339.3426	  4751.9354	   592.1900	   592.1900	   548.9600	   309.0800	     3.9620	    11.6600	   779.6600	 regenerative cooling, opposite flow	 
  147.0300	    21.6200	     1.8793	  4593.1624	   290.2407	  4883.4031	   590.4300	   590.4300	   546.0100	   307.9900	     3.9660	    12.0300	   780.5700	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     1.8661	  4568.4487	   268.0589	  4836.5076	   586.4500	   586.4500	   542.4500	   307.3100	     3.9690	    12.1000	   781.1400	 regenerative cooling, opposite flow	 
  159.2300	    24.5200	     1.3032	  3259.9078	   114.6291	  3374.5369	   533.1500	   533.1500	   502.4100	   305.3500	     3.9760	    10.6600	   782.7900	 regenerative cooling, opposite flow	 
  168.4500	    28.0200	     0.9447	  2394.9811	    76.3642	  2471.3452	   499.4500	   499.4500	   476.8700	   303.6700	     3.9820	     9.3700	   784.2000	 regenerative cooling, opposite flow	 
  177.6800	    31.3100	     0.7265	  1858.5576	    58.6512	  1917.2087	   476.2100	   476.2100	   458.6000	   302.2400	     3.9870	     8.4200	   785.4000	 regenerative cooling, opposite flow	 
  186.9000	    34.3900	     0.5835	  1502.8800	    47.8361	  1550.7161	   459.0100	   459.0100	   444.6700	   300.9900	     3.9910	     7.6800	   786.4400	 regenerative cooling, opposite flow	 
  196.1300	    37.2600	     0.4860	  1257.9640	    40.1845	  1298.1485	   446.0000	   446.0000	   433.8900	   299.8800	     3.9950	     7.1100	   787.3700	 regenerative cooling, opposite flow	 
  213.8300	    42.1100	     0.3642	   949.6435	    31.2601	   980.9036	   426.7600	   426.7600	   417.4300	   298.0000	     4.0000	     6.3000	   788.9500	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
