#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   205.1689	   205.1689	   405.0800	   405.0800	   401.6600	   389.9900	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   278.2981	   278.2981	   409.9400	   409.9400	   405.8100	   389.9900	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   335.0558	   335.0558	   413.5000	   413.5000	   408.6300	   389.5700	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   375.7687	   375.7687	   416.0200	   416.0200	   410.9500	   389.5700	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.4721	  1010.9927	   298.4784	  1309.4711	   476.6400	   476.6400	   463.0200	   388.4200	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.5158	  1101.6029	   295.0452	  1396.6481	   482.2000	   482.2000	   467.9800	   388.4200	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.5512	  1175.4099	   271.6302	  1447.0401	   485.4600	   485.4600	   470.8500	   388.4100	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.5571	  1189.2259	   252.1682	  1441.3941	   483.3600	   483.3600	   468.7600	   386.4300	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.5587	  1193.8910	   242.1960	  1436.0870	   481.2600	   481.2600	   466.6900	   384.4400	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.5653	  1208.5684	   238.6489	  1447.2173	   480.2300	   480.2300	   465.5500	   382.4300	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.5683	  1215.7253	   237.9403	  1453.6656	   478.8600	   478.8600	   464.1100	   380.3900	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.5698	  1219.8033	   237.9087	  1457.7119	   477.3200	   477.3200	   462.5200	   378.3300	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.5711	  1223.3743	   238.2116	  1461.5859	   475.7400	   475.7400	   460.9000	   376.2600	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.5723	  1226.9624	   238.1763	  1465.1387	   474.1400	   474.1400	   459.2500	   374.1600	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.5736	  1230.5729	   238.2740	  1468.8469	   472.5200	   472.5200	   457.5800	   372.0400	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.5748	  1234.2337	   238.4319	  1472.6656	   470.8900	   470.8900	   455.9100	   369.9000	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.5761	  1237.9178	   238.5576	  1476.4754	   469.2400	   469.2400	   454.2100	   367.7400	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.5815	  1250.2346	   238.4414	  1488.6760	   468.0200	   468.0200	   452.8700	   365.9000	     3.9990	     1.5600	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7200	     0.5961	  1282.0824	   236.9899	  1519.0723	   467.1000	   467.1000	   451.6500	   364.0300	     3.9990	     1.5900	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.6209	  1335.7432	   238.5852	  1574.3284	   466.7800	   466.7800	   450.7800	   362.0900	     3.9990	     1.6200	   790.3900	 regenerative cooling, opposite flow	 
  105.7000	    43.2500	     0.6591	  1417.7529	   236.8874	  1654.6403	   466.7800	   466.7800	   449.9700	   360.0700	     3.9990	     1.6800	   790.3900	 regenerative cooling, opposite flow	 
  110.2900	    41.3100	     0.7152	  1537.6884	   236.2663	  1773.9547	   467.4700	   467.4700	   449.4900	   357.9100	     3.9990	     1.7700	   790.3900	 regenerative cooling, opposite flow	 
  114.8800	    38.8200	     0.7977	  1713.5706	   236.7847	  1950.3553	   469.1500	   469.1500	   449.4200	   355.5700	     3.9990	     1.8900	   790.3900	 regenerative cooling, opposite flow	 
  119.4700	    35.7500	     0.9216	  1976.6390	   233.1242	  2209.7632	   471.9700	   471.9700	   449.6700	   353.0000	     3.9990	     2.0700	   790.3900	 regenerative cooling, opposite flow	 
  124.0600	    32.5300	     1.0854	  2322.4778	   231.0648	  2553.5426	   475.9900	   475.9900	   450.2800	   350.2200	     3.9990	     2.3000	   790.3900	 regenerative cooling, opposite flow	 
  128.6500	    29.3200	     1.2985	  2769.7494	   224.0994	  2993.8488	   481.0600	   481.0600	   451.0000	   347.2500	     3.9990	     2.5800	   790.3900	 regenerative cooling, opposite flow	 
  133.2400	    26.1900	     1.5743	  3343.1188	   211.6143	  3554.7331	   487.4100	   487.4100	   451.7700	   344.1500	     3.9990	     2.9400	   790.3900	 regenerative cooling, opposite flow	 
  137.8300	    23.8700	     1.8404	  3889.6121	   190.5146	  4080.1267	   492.5000	   492.5000	   451.6300	   341.0700	     3.9990	     3.2700	   790.3900	 regenerative cooling, opposite flow	 
  142.4200	    22.3900	     2.0479	  4308.4271	   164.4907	  4472.9177	   495.1500	   495.1500	   450.3600	   338.0400	     3.9990	     3.5200	   790.3900	 regenerative cooling, opposite flow	 
  147.0100	    21.6200	     2.1670	  4539.8227	   138.0313	  4677.8540	   494.7300	   494.7300	   447.9000	   335.0400	     4.0000	     3.6700	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     2.1866	  4569.6252	   125.8753	  4695.5005	   492.7200	   492.7200	   445.7100	   333.1000	     4.0000	     3.7000	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     1.7280	  3581.6473	    45.7116	  3627.3589	   465.3900	   465.3900	   428.9800	   327.2700	     4.0000	     3.2700	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     1.3692	  2834.2937	    28.6806	  2862.9742	   444.8000	   444.8000	   415.9400	   321.7400	     4.0000	     2.8800	   790.3900	 regenerative cooling, opposite flow	 
  177.5500	    31.2500	     1.1271	  2332.4987	    20.9969	  2353.4956	   429.1800	   429.1800	   405.3200	   316.6800	     4.0000	     2.5900	   790.3900	 regenerative cooling, opposite flow	 
  186.7300	    34.3100	     0.9560	  1978.5128	    16.4045	  1994.9174	   416.6300	   416.6300	   396.2700	   311.9900	     4.0000	     2.3700	   790.3900	 regenerative cooling, opposite flow	 
  195.9100	    37.1400	     0.8308	  1719.9950	    13.4545	  1733.4495	   406.2000	   406.2000	   388.3800	   307.5800	     4.0000	     2.2000	   790.3900	 regenerative cooling, opposite flow	 
  212.7900	    41.7500	     0.6757	  1400.3982	    10.1376	  1410.5358	   390.7600	   390.7600	   376.0300	   300.0000	     4.0000	     1.9600	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
