#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    47.1300	     0.0000	     0.0000	   240.7237	   240.7237	   404.7300	   404.7300	   401.2200	   389.8300	     3.9980	     1.9900	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4100	    47.1300	     0.0000	     0.0000	   326.7440	   326.7440	   409.1900	   409.1900	   404.9900	   389.5300	     3.9980	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   10.8200	    47.1300	     0.0000	     0.0000	   393.6635	   393.6635	   412.5300	   412.5300	   407.7800	   389.1400	     3.9980	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   16.2200	    47.1300	     0.5883	  1260.8713	   356.3913	  1617.2626	   478.2200	   478.2200	   465.7200	   389.1400	     3.9980	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   21.6300	    47.1300	     0.6748	  1439.8880	   351.2936	  1791.1816	   487.8000	   487.8000	   473.9500	   389.1400	     3.9980	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   27.0400	    47.1300	     0.6943	  1481.1493	   316.2468	  1797.3961	   488.1800	   488.1800	   474.2400	   389.1300	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   32.4500	    47.1300	     0.8200	  1739.0110	   289.0174	  2028.0284	   500.8100	   500.8100	   485.1600	   389.1300	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   37.8500	    47.1300	     0.9422	  1986.0536	   275.4294	  2261.4830	   513.5900	   513.5900	   496.2100	   389.1200	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   43.2600	    47.1300	     0.9838	  2069.6729	   270.8935	  2340.5664	   517.9200	   517.9200	   499.9500	   389.1100	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   48.6700	    47.1300	     0.9930	  2087.9102	   269.9099	  2357.8201	   518.8600	   518.8600	   500.7600	   389.1100	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   54.0800	    47.1300	     0.9942	  2090.4054	   269.8503	  2360.2557	   518.9700	   518.9700	   500.8700	   389.1000	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   59.4800	    47.1300	     0.9943	  2090.6822	   269.9961	  2360.6783	   518.9700	   518.9700	   500.8800	   389.0900	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   64.8900	    47.1300	     0.9944	  2090.7399	   270.0637	  2360.8036	   518.9600	   518.9600	   500.8800	   389.0900	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   70.3000	    47.1300	     0.9944	  2090.8214	   270.0313	  2360.8527	   518.9500	   518.9500	   500.8800	   389.0800	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   75.7100	    47.1300	     0.9944	  2090.9570	   269.8269	  2360.7839	   518.9200	   518.9200	   500.8700	   389.0700	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   81.1100	    47.1300	     0.9946	  2091.3296	   270.0111	  2361.3407	   518.8600	   518.8600	   500.8900	   389.0700	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   86.5200	    47.1300	     0.9961	  2096.4053	   270.0012	  2366.4065	   516.9900	   516.9900	   498.9700	   386.5200	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   86.5200	    47.1300	     0.9961	  2096.3887	   270.1926	  2366.5813	   517.0000	   517.0000	   498.9800	   386.5200	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
   91.1400	    46.9300	     1.0047	  2115.8234	   271.6074	  2387.4308	   515.7300	   515.7300	   497.5600	   384.3200	     3.9990	     2.0000	   790.3900	 regenerative cooling, opposite flow	 
   95.7600	    46.3300	     1.0289	  2167.5435	   271.0430	  2438.5865	   514.9400	   514.9400	   496.3800	   382.0700	     3.9990	     2.0300	   790.3900	 regenerative cooling, opposite flow	 
  100.3700	    45.3100	     1.0709	  2256.1000	   270.4668	  2526.5669	   514.7700	   514.7700	   495.5500	   379.7500	     3.9990	     2.0800	   790.3900	 regenerative cooling, opposite flow	 
  104.9900	    43.8600	     1.1352	  2390.7592	   269.7146	  2660.4738	   515.3200	   515.3200	   495.1100	   377.3000	     3.9990	     2.1500	   790.3900	 regenerative cooling, opposite flow	 
  109.6100	    41.9200	     1.2297	  2587.7115	   268.5743	  2856.2858	   516.8000	   516.8000	   495.1200	   374.7000	     3.9990	     2.2600	   790.3900	 regenerative cooling, opposite flow	 
  114.2300	    39.4400	     1.3688	  2876.2343	   267.4054	  3143.6397	   519.5600	   519.5600	   495.7500	   371.8600	     3.9990	     2.4100	   790.3900	 regenerative cooling, opposite flow	 
  118.8500	    36.3700	     1.5774	  3306.3901	   266.1186	  3572.5087	   524.1900	   524.1900	   497.2000	   368.7100	     3.9990	     2.6400	   790.3900	 regenerative cooling, opposite flow	 
  123.4600	    33.1400	     1.8547	  3874.7291	   262.0206	  4136.7497	   530.2700	   530.2700	   499.0800	   365.2800	     3.9990	     2.9300	   790.3900	 regenerative cooling, opposite flow	 
  128.0800	    29.9000	     2.2147	  4606.2225	   255.2526	  4861.4751	   537.9100	   537.9100	   501.3100	   361.6100	     3.9990	     3.2800	   790.3900	 regenerative cooling, opposite flow	 
  132.7000	    26.7200	     2.6843	  5549.4529	   241.6323	  5791.0852	   547.3100	   547.3100	   503.7800	   357.7300	     3.9990	     3.7300	   790.3900	 regenerative cooling, opposite flow	 
  137.3200	    24.3300	     3.1469	  6465.7059	   219.5991	  6685.3050	   555.2400	   555.2400	   505.0300	   353.8300	     3.9990	     4.1500	   790.3900	 regenerative cooling, opposite flow	 
  141.9400	    22.7700	     3.5124	  7176.9918	   189.5543	  7366.5461	   559.7800	   559.7800	   504.4700	   349.9800	     3.9990	     4.4800	   790.3900	 regenerative cooling, opposite flow	 
  146.5500	    21.9500	     3.7283	  7583.2889	   159.8657	  7743.1546	   560.1800	   560.1800	   502.0600	   346.1600	     3.9990	     4.6800	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.7600	     3.7693	  7645.8871	   144.0403	  7789.9274	   557.5200	   557.5200	   499.0400	   343.3000	     3.9990	     4.7300	   790.3900	 regenerative cooling, opposite flow	 
  159.2400	    24.8000	     2.9580	  5975.2650	    54.1276	  6029.3925	   521.7200	   521.7200	   476.3700	   335.8200	     3.9990	     4.1800	   790.3900	 regenerative cooling, opposite flow	 
  168.4700	    28.3000	     2.3336	  4723.2206	    33.9840	  4757.2046	   494.4300	   494.4300	   458.5500	   328.6600	     4.0000	     3.6900	   790.3900	 regenerative cooling, opposite flow	 
  177.7100	    31.5900	     1.9149	  3884.3213	    25.0192	  3909.3405	   473.7600	   473.7600	   444.1600	   322.0900	     4.0000	     3.3200	   790.3900	 regenerative cooling, opposite flow	 
  186.9400	    34.6700	     1.6200	  3293.0400	    19.8461	  3312.8861	   457.1900	   457.1900	   431.9800	   315.9700	     4.0000	     3.0400	   790.3900	 regenerative cooling, opposite flow	 
  196.1800	    37.5200	     1.4049	  2861.5101	    16.2748	  2877.7849	   443.4200	   443.4200	   421.4000	   310.2100	     4.0000	     2.8200	   790.3900	 regenerative cooling, opposite flow	 
  213.6000	    42.2900	     1.1337	  2317.3560	    12.0611	  2329.4171	   422.5600	   422.5600	   404.5200	   300.0000	     4.0000	     2.5100	   790.3900	 regenerative cooling, opposite flow	 
